"Date","Production"
"1962-01",340
"1962-02",201
"1962-03",147
"1962-04",125
"1962-05",150
"1962-06",281
"1962-07",537
"1962-08",509
"1962-09",777
"1962-10",1297
"1962-11",1846
"1962-12",2189
"1963-01",2462
"1963-02",2746
"1963-03",3036
"1963-04",3206
"1963-05",3551
"1963-06",3272
"1963-07",3024
"1963-08",2725
"1963-09",2353
"1963-10",1825
"1963-11",1358
"1963-12",660
"1964-01",394
"1964-02",275
"1964-03",222
"1964-04",280
"1964-05",569
"1964-06",1825
"1964-07",2567
"1964-08",2518
"1964-09",2175
"1964-10",1933
"1964-11",1904
"1964-12",1872
"1965-01",1748
"1965-02",2063
"1965-03",2159
"1965-04",1953
"1965-05",1950
"1965-06",1994
"1965-07",1724
"1965-08",1430
"1965-09",1175
"1965-10",1128
"1965-11",1018
"1965-12",540
"1966-01",374
"1966-02",322
"1966-03",322
"1966-04",345
"1966-05",575
"1966-06",1811
"1966-07",2550
"1966-08",2646
"1966-09",2328
"1966-10",2047
"1966-11",1858
"1966-12",1712
"1967-01",1676
"1967-02",1806
"1967-03",2058
"1967-04",1788
"1967-05",1804
"1967-06",1882
"1967-07",1636
"1967-08",1314
"1967-09",969
"1967-10",971
"1967-11",980
"1967-12",562
"1968-01",370
"1968-02",324
"1968-03",284
"1968-04",351
"1968-05",575
"1968-06",1758
"1968-07",2568
"1968-08", 2514
"1968-09", 2309
"1968-10", 2088
"1968-11", 1822
"1968-12", 1725
"1969-01", 1645
"1969-02", 1800
"1969-03", 2095
"1969-04", 1900
"1969-05", 1866
"1969-06", 1936
"1969-07", 1581
"1969-08", 1274
"1969-09", 1039
"1969-10", 953
"1969-11", 949
"1969-12", 575
"1970-01", 384
"1970-02", 333
"1970-03", 309
"1970-04", 316
"1970-05", 604
"1970-06", 1683
"1970-07", 2562
"1970-08", 2660
"1970-09", 2245
"1970-10", 2154
"1970-11", 1861
"1970-12", 1805
"1971-01", 1760
"1971-02", 2017
"1971-03", 2277
"1971-04", 1850
"1971-05", 2035
"1971-06", 2039
"1971-07", 1812
"1971-08", 1657
"1971-09", 1327
"1971-10", 1146
"1971-11", 978
"1971-12", 593
"1972-01", 378
"1972-02", 349
"1972-03", 332
"1972-04", 368
"1972-05", 601
"1972-06", 1566
"1972-07", 2303
"1972-08", 2354
"1972-09", 2079
"1972-10", 2013
"1972-11", 2102
"1972-12", 2160
"1973-01", 2273
"1973-02", 2590
"1973-03", 2806
"1973-04", 2600
"1973-05", 2608
"1973-06", 2773
"1973-07", 2416
"1973-08", 2037
"1973-09", 1669
"1973-10", 1342
"1973-11", 1030
"1973-12", 607
"1974-01", 401
"1974-02", 332
"1974-03", 258
"1974-04", 237
"1974-05", 242
"1974-06", 481
"1974-07", 855
"1974-08", 878
"1974-09", 1265
"1974-10", 1874
"1974-11", 2293
"1974-12", 2434
"1975-01", 2331
"1975-02", 2400
"1975-03", 2277
"1975-04", 2223
"1975-05", 2128
"1975-06", 1909
"1975-07", 1435
"1975-08", 1291
"1975-09", 1118
"1975-10", 905
"1975-11", 824
"1975-12", 520
